,Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,MinutesPer90,Goals,Assists,GoalsAndAssists,NonPenaltyGoals,PenaltiesScored,PenaltiesAttempted,CrdY,CrdR,ExpGoals,NPExpGoals,ExpAssists,NPExpGoalsAndAssists,PrgC,PrgP,PrgR,GoalsPer90,AssistsPer90,GoalsAndAssistsPer90,NPGoalsPer90,NPGoalsAndAssistsPer90,ExpGoalsPer90,ExpAssistsPer90,ExpGoalsAndAssistsPer90,NPExpGoalsPer90,NPExpGoalsAndAssistsPer90
1195,Javi López,ESP,DF,Real Sociedad,La Liga,22,29,21,1936,21.5,0,0,0,0,0,0,4,0,0.1,0.1,0.4,0.5,36,73,64,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03
1196,Javi Martínez,ESP,MF,Osasuna,La Liga,24,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1197,Javi Martón,ESP,"FW,MF",Athletic Club,La Liga,25,3,0,53,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1198,Javi Puado,ESP,"FW,MF",Espanyol,La Liga,26,35,35,2974,33.0,12,4,16,7,5,5,8,0,11.6,7.7,3.0,10.7,73,75,113,0.36,0.12,0.48,0.21,0.33,0.35,0.09,0.44,0.23,0.32
1199,Javi Rodríguez,ESP,DF,Celta Vigo,La Liga,21,36,26,2514,27.9,3,2,5,3,0,0,7,0,2.3,2.3,1.0,3.3,29,114,51,0.11,0.07,0.18,0.11,0.18,0.08,0.04,0.12,0.08,0.12
1200,Javi Sánchez,ESP,DF,Valladolid,La Liga,27,25,25,2026,22.5,2,0,2,2,0,0,6,0,0.5,0.5,0.3,0.8,4,34,4,0.09,0.0,0.09,0.09,0.09,0.02,0.01,0.03,0.02,0.03
1201,Javier Guerra,ESP,MF,Valencia,La Liga,21,36,31,2581,28.7,3,3,6,3,0,0,5,0,2.2,2.2,3.2,5.4,50,137,84,0.1,0.1,0.21,0.1,0.21,0.08,0.11,0.19,0.08,0.19
1202,Javier Llabrés,ESP,FW,Mallorca,La Liga,21,1,1,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,3,8,0.0,0.0,0.0,0.0,0.0,0.08,0.14,0.21,0.08,0.21
1203,Javier Manquillo,ESP,DF,Celta Vigo,La Liga,30,10,7,515,5.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,24,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1204,Javier Muñoz,ESP,"MF,DF",Las Palmas,La Liga,29,35,28,2588,28.8,1,3,4,1,0,0,5,0,1.3,1.3,2.5,3.7,36,108,91,0.03,0.1,0.14,0.03,0.14,0.04,0.09,0.13,0.04,0.13
1205,Jay Idzes,IDN,DF,Venezia,Serie A,24,35,35,3127,34.7,1,0,1,1,0,0,5,0,1.8,1.8,0.7,2.5,15,84,15,0.03,0.0,0.03,0.03,0.03,0.05,0.02,0.07,0.05,0.07
1206,Jay Robinson,ENG,"MF,FW",Southampton,Premier League,17,4,1,137,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.7,0.7,3,1,10,0.0,0.0,0.0,0.0,0.0,0.03,0.44,0.47,0.03,0.47
1207,Jay Stansfield,ENG,MF,Fulham,Premier League,21,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1208,Jaydee Canvot,FRA,"DF,MF",Toulouse,Ligue 1,18,18,12,1106,12.3,0,0,0,0,0,0,2,0,0.2,0.2,0.7,0.9,9,41,0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.08,0.02,0.08
1209,Jayden Danns,ENG,MF,Liverpool,Premier League,18,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1210,Jayden Meghoma,ENG,DF,Brentford,Premier League,18,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1211,Jean Butez,FRA,GK,Como,Serie A,29,19,18,1666,18.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1212,Jean Mattéo Bahoya,FRA,"MF,FW",Eint Frankfurt,Bundesliga,19,24,10,921,10.2,2,3,5,2,0,0,3,0,1.9,1.9,1.7,3.6,24,28,93,0.2,0.29,0.49,0.2,0.49,0.18,0.17,0.35,0.18,0.35
1213,Jean Onana,CMR,MF,Genoa,Serie A,24,9,2,304,3.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,11,4,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03
1214,Jean-Charles Castelletto,CMR,"DF,MF",Nantes,Ligue 1,29,30,30,2620,29.1,0,0,0,0,0,0,5,1,1.8,1.8,0.1,1.9,21,87,19,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06
1215,Jean-Clair Todibo,FRA,DF,West Ham,Premier League,24,27,20,1825,20.3,0,0,0,0,0,0,3,0,0.4,0.4,0.0,0.4,9,38,5,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
1216,Jean-Daniel Akpa-Akpro,CIV,MF,Monza,Serie A,31,14,12,966,10.7,0,0,0,0,0,0,4,0,0.3,0.3,0.2,0.6,21,19,22,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05
1217,Jean-Eudes Aholou,CIV,MF,Angers,Ligue 1,30,26,26,1959,21.8,2,0,2,2,0,0,7,0,1.8,1.8,1.0,2.8,15,68,16,0.09,0.0,0.09,0.09,0.09,0.08,0.05,0.13,0.08,0.13
1218,Jean-Kevin Duverne,HAI,DF,Nantes,Ligue 1,27,9,7,537,6.0,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,6,22,8,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.06,0.05,0.06
1219,Jean-Philippe Gbamin,CIV,MF,Nantes,Ligue 1,28,14,2,216,2.4,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,2,12,1,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.22,0.22,0.22
1220,Jean-Philippe Mateta,FRA,FW,Crystal Palace,Premier League,27,37,33,2648,29.4,14,2,16,12,2,2,2,0,13.5,11.9,3.2,15.1,45,52,122,0.48,0.07,0.54,0.41,0.48,0.46,0.11,0.57,0.41,0.51
1221,Jean-Ricner Bellegarde,FRA,"MF,FW",Wolves,Premier League,26,35,20,1677,18.6,2,7,9,2,0,0,3,0,1.5,1.5,3.8,5.3,52,43,89,0.11,0.38,0.48,0.11,0.48,0.08,0.2,0.29,0.08,0.29
1222,Jeanuël Belocian,FRA,"DF,MF",Leverkusen,Bundesliga,19,5,1,68,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1223,Jeff Ekhator,ITA,"FW,MF",Genoa,Serie A,17,24,6,769,8.5,1,1,2,1,0,0,1,0,1.3,1.3,1.0,2.3,4,14,51,0.12,0.12,0.23,0.12,0.23,0.16,0.12,0.27,0.16,0.27
1224,Jefferson Lerma,COL,"MF,DF",Crystal Palace,Premier League,29,33,26,2274,25.3,0,1,1,0,0,0,9,0,1.1,1.1,1.6,2.7,13,97,26,0.0,0.04,0.04,0.0,0.04,0.04,0.06,0.11,0.04,0.11
1225,Jeffrey Gouweleeuw,NED,DF,Augsburg,Bundesliga,33,33,33,2944,32.7,1,4,5,1,0,1,9,0,1.7,0.9,2.2,3.1,24,142,19,0.03,0.12,0.15,0.03,0.15,0.05,0.07,0.12,0.03,0.1
1226,Jeffrey Schlupp,GHA,"MF,DF",Crystal Palace,Premier League,31,12,0,103,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,4,5,9,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.28,0.14,0.28
1227,Jens Cajuste,SWE,MF,Ipswich Town,Premier League,24,30,25,1959,21.8,1,1,2,1,0,0,2,0,0.7,0.7,0.8,1.5,26,59,20,0.05,0.05,0.09,0.05,0.09,0.03,0.04,0.07,0.03,0.07
1228,Jens Odgaard,DEN,"MF,FW",Bologna,Serie A,25,29,24,1952,21.7,6,1,7,6,0,0,1,0,3.6,3.6,1.8,5.4,35,50,99,0.28,0.05,0.32,0.28,0.32,0.17,0.08,0.25,0.17,0.25
1229,Jens Stage,DEN,MF,Werder Bremen,Bundesliga,27,28,26,2204,24.5,10,5,15,10,0,0,10,0,7.2,7.2,2.8,10.0,28,104,89,0.41,0.2,0.61,0.41,0.61,0.29,0.12,0.41,0.29,0.41
1230,Jeong Woo-yeong,KOR,"MF,FW",Union Berlin,Bundesliga,24,23,17,1263,14.0,3,2,5,3,0,0,2,0,2.8,2.8,1.7,4.4,32,63,93,0.21,0.14,0.36,0.21,0.36,0.2,0.12,0.31,0.2,0.31
1231,Jeremie Boga,CIV,"MF,FW",Nice,Ligue 1,27,21,12,1054,11.7,1,2,3,1,0,0,0,0,2.3,2.3,2.8,5.1,64,39,75,0.09,0.17,0.26,0.09,0.26,0.2,0.24,0.44,0.2,0.44
1232,Jeremie Frimpong,NED,"DF,MF",Leverkusen,Bundesliga,23,33,25,2314,25.7,5,5,10,5,0,0,4,0,4.1,4.1,4.2,8.3,100,55,272,0.19,0.19,0.39,0.19,0.39,0.16,0.16,0.32,0.16,0.32
1233,Jeremy Agbonifo,SWE,"FW,MF",Lens,Ligue 1,18,8,1,300,3.3,1,0,1,1,0,0,1,0,0.7,0.7,0.2,0.9,13,6,36,0.3,0.0,0.3,0.3,0.3,0.21,0.06,0.26,0.21,0.26
1234,Jeremy Doku,BEL,"FW,MF",Manchester City,Premier League,22,29,16,1516,16.8,3,6,9,3,0,0,1,0,1.3,1.3,4.8,6.1,213,69,286,0.18,0.36,0.53,0.18,0.53,0.08,0.29,0.36,0.08,0.36
1235,Jeremy Sarmiento,ECU,MF,Brighton,Premier League,22,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1236,Jesper Karlsson,SWE,FW,Lecce,Serie A,26,13,6,495,5.5,1,0,1,0,1,1,2,0,1.5,0.7,0.6,1.3,11,12,32,0.18,0.0,0.18,0.0,0.0,0.26,0.12,0.38,0.12,0.24
1237,Jesper Karlsson,SWE,FW,Bologna,Serie A,26,7,3,298,3.3,1,0,1,1,0,0,1,0,0.7,0.7,0.1,0.8,6,6,31,0.3,0.0,0.3,0.3,0.3,0.22,0.03,0.25,0.22,0.25
1238,Jesper Karlström,SWE,MF,Udinese,Serie A,29,37,36,3186,35.4,0,3,3,0,0,0,9,0,0.7,0.7,1.1,1.8,23,135,46,0.0,0.08,0.08,0.0,0.08,0.02,0.03,0.05,0.02,0.05
1239,Jesper Lindstrøm,DEN,FW,Everton,Premier League,24,25,15,1239,13.8,0,1,1,0,0,0,2,0,2.1,2.1,2.0,4.1,30,25,81,0.0,0.07,0.07,0.0,0.07,0.15,0.15,0.3,0.15,0.3
1240,Jesse Joronen,FIN,GK,Venezia,Serie A,31,8,7,703,7.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1241,Jesus Rodríguez,ESP,FW,Betis,La Liga,18,21,15,1111,12.3,2,0,2,2,0,0,0,0,2.3,2.3,0.2,2.5,53,35,99,0.16,0.0,0.16,0.16,0.16,0.18,0.02,0.2,0.18,0.2
1242,Jesus Vazquez,ESP,DF,Valencia,La Liga,21,19,10,919,10.2,0,0,0,0,0,0,3,0,0.1,0.1,0.6,0.8,32,21,48,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.08,0.01,0.08
1243,Jesús Areso,ESP,DF,Osasuna,La Liga,25,36,35,3079,34.2,0,3,3,0,0,0,9,0,0.2,0.2,3.5,3.7,101,106,203,0.0,0.09,0.09,0.0,0.09,0.01,0.1,0.11,0.01,0.11
1244,Jesús Navas,ESP,"FW,MF",Sevilla,La Liga,38,15,3,424,4.7,1,0,1,1,0,0,0,0,0.5,0.5,0.5,1.0,13,23,48,0.21,0.0,0.21,0.21,0.21,0.11,0.11,0.22,0.11,0.22
1245,Jesús Owono,EQG,GK,Alavés,La Liga,23,6,5,487,5.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1246,Jesús Santiago,ESP,MF,Getafe,La Liga,20,19,4,372,4.1,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,4,16,4,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
1247,Jesús Vallejo,ESP,DF,Real Madrid,La Liga,27,4,1,138,1.5,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,0,5,1,0.0,0.65,0.65,0.0,0.65,0.0,0.08,0.08,0.0,0.08
1248,Jhoanner Chávez,ECU,"DF,MF",Lens,Ligue 1,22,10,7,596,6.6,1,0,1,1,0,0,1,0,0.3,0.3,0.7,1.0,14,9,36,0.15,0.0,0.15,0.15,0.15,0.04,0.11,0.15,0.04,0.15
1249,Jhon Lucumí,COL,DF,Bologna,Serie A,26,32,29,2614,29.0,0,1,1,0,0,0,8,1,0.6,0.6,0.4,1.0,34,108,7,0.0,0.03,0.03,0.0,0.03,0.02,0.01,0.03,0.02,0.03
1250,Jhon Solis,COL,MF,Girona,La Liga,19,19,3,535,5.9,1,0,1,1,0,0,3,0,0.7,0.7,0.1,0.7,9,29,15,0.17,0.0,0.17,0.17,0.17,0.11,0.01,0.12,0.11,0.12
1251,Jibril Othman,TUN,FW,Saint-Étienne,Ligue 1,20,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1252,Jim Allevinah,GAB,FW,Angers,Ligue 1,29,28,23,1750,19.4,1,3,4,1,0,0,3,0,4.2,4.2,2.5,6.7,57,48,99,0.05,0.15,0.21,0.05,0.21,0.22,0.13,0.35,0.22,0.35
1253,Joachim Andersen,DEN,DF,Fulham,Premier League,28,29,29,2583,28.7,0,0,0,0,0,0,6,1,1.0,1.0,0.5,1.5,16,112,2,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.05,0.04,0.05
1254,Joachim Andersen,DEN,DF,Crystal Palace,Premier League,28,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,4,1,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04
1255,Joachim Kayi Sanda,FRA,DF,Southampton,Premier League,17,2,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1256,Joakim Mæhle,DEN,DF,Wolfsburg,Bundesliga,27,28,25,2188,24.3,3,4,7,3,0,0,6,0,2.0,2.0,2.2,4.3,59,88,117,0.12,0.16,0.29,0.12,0.29,0.08,0.09,0.18,0.08,0.18
1257,Joan García,ESP,GK,Espanyol,La Liga,23,38,38,3420,38.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1258,Joan Jordán,ESP,MF,Alavés,La Liga,30,25,15,1414,15.7,5,2,7,2,3,4,4,0,4.8,1.6,2.3,4.0,7,104,35,0.32,0.13,0.45,0.13,0.25,0.3,0.15,0.45,0.1,0.25
1259,Joaquín Correa,ARG,"FW,MF",Inter,Serie A,29,19,6,731,8.1,2,2,4,2,0,0,3,0,2.1,2.1,2.0,4.1,22,42,45,0.25,0.25,0.49,0.25,0.49,0.26,0.24,0.5,0.26,0.5
1260,Joe Aribo,NGA,"MF,DF",Southampton,Premier League,28,32,21,2013,22.4,3,0,3,3,0,0,1,0,2.7,2.7,1.6,4.3,36,75,65,0.13,0.0,0.13,0.13,0.13,0.12,0.07,0.19,0.12,0.19
1261,Joe Gomez,ENG,DF,Liverpool,Premier League,27,9,6,519,5.8,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,5,35,2,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08
1262,Joe Lumley,ENG,GK,Southampton,Premier League,29,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1263,Joe Scally,USA,DF,Gladbach,Bundesliga,21,32,30,2578,28.6,0,0,0,0,0,0,6,0,0.4,0.4,1.1,1.5,52,68,69,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05
1264,Joe Willock,ENG,"MF,FW",Newcastle Utd,Premier League,24,32,11,1086,12.1,0,2,2,0,0,0,4,0,1.6,1.6,2.1,3.8,38,41,86,0.0,0.17,0.17,0.0,0.17,0.14,0.18,0.31,0.14,0.31
1265,Joel Pohjanpalo,FIN,FW,Venezia,Serie A,29,20,19,1603,17.8,6,0,6,3,3,4,1,0,7.5,4.3,1.7,6.0,9,29,72,0.34,0.0,0.34,0.17,0.17,0.42,0.09,0.51,0.24,0.33
1266,Joel Ward,ENG,DF,Crystal Palace,Premier League,34,2,1,71,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06
1267,Joelinton,BRA,"MF,FW",Newcastle Utd,Premier League,27,29,29,2393,26.6,4,3,7,4,0,0,10,0,3.9,3.9,2.5,6.4,40,116,110,0.15,0.11,0.26,0.15,0.26,0.15,0.09,0.24,0.15,0.24
1268,Jofre,ESP,"MF,FW",Espanyol,La Liga,23,37,26,2165,24.1,3,3,6,3,0,0,5,0,2.5,2.5,2.5,5.0,65,48,156,0.12,0.12,0.25,0.12,0.25,0.11,0.1,0.21,0.11,0.21
1269,Johan Manzambi,SUI,"FW,MF",Freiburg,Bundesliga,18,11,4,335,3.7,2,1,3,2,0,0,2,0,1.3,1.3,0.4,1.8,7,10,12,0.54,0.27,0.81,0.54,0.81,0.36,0.12,0.47,0.36,0.47
1270,Johan Mojica,COL,DF,Mallorca,La Liga,31,36,30,2755,30.6,1,2,3,1,0,0,5,0,0.9,0.9,4.1,5.0,66,130,142,0.03,0.07,0.1,0.03,0.1,0.03,0.13,0.16,0.03,0.16
1271,Johan Vásquez,MEX,DF,Genoa,Serie A,25,36,34,3041,33.8,3,0,3,3,0,0,9,0,2.4,2.4,0.3,2.7,37,96,12,0.09,0.0,0.09,0.09,0.09,0.07,0.01,0.08,0.07,0.08
1272,Johann Lepenant,FRA,MF,Nantes,Ligue 1,21,29,23,2048,22.8,2,1,3,2,0,0,3,0,1.4,1.4,0.9,2.3,25,89,62,0.09,0.04,0.13,0.09,0.13,0.06,0.04,0.1,0.06,0.1
1273,Johannes Eggestein,GER,FW,St. Pauli,Bundesliga,26,27,22,1853,20.6,3,4,7,2,1,2,3,0,4.7,3.1,2.1,5.2,25,43,138,0.15,0.19,0.34,0.1,0.29,0.23,0.1,0.33,0.15,0.25
1274,John Joe,IRL,MF,Reims,Ligue 1,20,13,5,545,6.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,6,14,9,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03
1275,John Joe,IRL,"MF,FW",Getafe,La Liga,20,4,0,48,0.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,0,6,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.26,0.26,0.26
1276,John McGinn,SCO,"MF,FW",Aston Villa,Premier League,29,34,27,2223,24.7,1,4,5,1,0,0,7,0,3.1,2.8,3.5,6.3,32,103,87,0.04,0.16,0.2,0.04,0.2,0.13,0.14,0.27,0.11,0.26
1277,John Stones,ENG,"DF,MF",Manchester City,Premier League,30,11,6,548,6.1,2,0,2,2,0,0,1,0,0.4,0.4,0.1,0.5,10,21,2,0.33,0.0,0.33,0.33,0.33,0.07,0.01,0.08,0.07,0.08
1278,John Tolkin,USA,"DF,MF",Holstein Kiel,Bundesliga,22,11,9,737,8.2,0,2,2,0,0,0,0,0,0.1,0.1,0.7,0.7,6,17,12,0.0,0.24,0.24,0.0,0.24,0.01,0.08,0.09,0.01,0.09
1279,John Yeboah,ECU,"FW,MF",Venezia,Serie A,24,33,11,1226,13.6,1,1,2,1,0,0,6,0,3.0,3.0,1.9,4.9,50,42,88,0.07,0.07,0.15,0.07,0.15,0.22,0.14,0.36,0.22,0.36
1280,Johnny Cardoso,USA,MF,Betis,La Liga,22,28,24,2144,23.8,3,1,4,3,0,0,4,0,2.0,2.0,0.9,3.0,19,71,28,0.13,0.04,0.17,0.13,0.17,0.09,0.04,0.12,0.09,0.12
1281,Jon Aramburu,VEN,DF,Real Sociedad,La Liga,22,35,28,2460,27.3,1,1,2,1,0,0,8,0,0.4,0.4,1.1,1.6,26,97,53,0.04,0.04,0.07,0.04,0.07,0.02,0.04,0.06,0.02,0.06
1282,Jon Guridi,ESP,"MF,FW",Alavés,La Liga,29,33,27,2080,23.1,3,1,4,2,1,1,6,0,4.2,3.4,1.2,4.6,27,79,90,0.13,0.04,0.17,0.09,0.13,0.18,0.05,0.23,0.15,0.2
1283,Jon Magunazelaia,ESP,MF,Real Sociedad,La Liga,23,2,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1284,Jon Martin,ESP,DF,Real Sociedad,La Liga,18,13,6,904,10.0,0,1,1,0,0,0,2,0,0.6,0.6,0.2,0.8,4,34,0,0.0,0.1,0.1,0.0,0.1,0.06,0.02,0.08,0.06,0.08
1285,Jon Moncayola,ESP,MF,Osasuna,La Liga,26,32,26,2099,23.3,0,0,0,0,0,0,8,0,1.6,1.6,3.7,5.3,25,107,51,0.0,0.0,0.0,0.0,0.0,0.07,0.16,0.23,0.07,0.23
1286,Jon Pacheco,ESP,DF,Real Sociedad,La Liga,23,14,9,854,9.5,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.2,12,27,0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02
1287,Jon Rowe,ENG,"FW,MF",Marseille,Ligue 1,21,28,6,807,9.0,3,3,6,3,0,0,2,0,3.5,3.5,4.5,8.0,30,31,96,0.33,0.33,0.67,0.33,0.67,0.39,0.5,0.89,0.39,0.89
1288,Jonah Kusi-Asare,SWE,FW,Bayern Munich,Bundesliga,17,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,1.12,1.12,1.12
1289,Jonas Föhrenbach,GER,DF,Heidenheim,Bundesliga,28,27,22,1832,20.4,0,1,1,0,0,0,3,0,0.3,0.3,1.3,1.6,36,59,50,0.0,0.05,0.05,0.0,0.05,0.01,0.06,0.08,0.01,0.08
1290,Jonas Hofmann,GER,"MF,DF",Leverkusen,Bundesliga,32,11,4,356,4.0,2,1,3,2,0,0,1,0,1.0,1.0,0.4,1.4,10,14,29,0.51,0.25,0.76,0.51,0.76,0.25,0.11,0.35,0.25,0.35
1291,Jonas Martin,FRA,MF,Brest,Ligue 1,34,17,5,496,5.5,1,0,1,1,0,0,2,0,0.4,0.4,0.3,0.7,8,21,9,0.18,0.0,0.18,0.18,0.18,0.07,0.06,0.14,0.07,0.14
1292,Jonas Omlin,SUI,GK,Gladbach,Bundesliga,30,12,11,978,10.9,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1293,Jonas Rouhi,SWE,DF,Juventus,Serie A,20,5,1,210,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,9,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1294,Jonas Urbig,GER,GK,Bayern Munich,Bundesliga,20,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1295,Jonas Wind,DEN,"FW,MF",Wolfsburg,Bundesliga,25,31,21,1966,21.8,9,3,12,8,1,2,2,0,5.7,4.0,4.2,8.1,17,100,94,0.41,0.14,0.55,0.37,0.5,0.26,0.19,0.45,0.18,0.37
1296,Jonathan Bamba,CIV,"FW,MF",Celta Vigo,La Liga,28,12,10,811,9.0,0,1,1,0,0,0,1,0,0.8,0.8,1.8,2.6,31,30,71,0.0,0.11,0.11,0.0,0.11,0.09,0.2,0.29,0.09,0.29
1297,Jonathan Burkardt,GER,FW,Mainz 05,Bundesliga,24,29,28,2109,23.4,18,2,20,16,2,2,0,0,14.8,13.2,3.1,16.3,32,42,157,0.77,0.09,0.85,0.68,0.77,0.63,0.13,0.76,0.56,0.7
1298,Jonathan Clauss,FRA,"DF,MF",Nice,Ligue 1,31,28,27,2303,25.6,3,8,11,3,0,0,7,0,2.2,2.2,7.7,9.9,53,105,160,0.12,0.31,0.43,0.12,0.43,0.09,0.3,0.39,0.09,0.39
1299,Jonathan David,CAN,FW,Lille,Ligue 1,24,32,28,2554,28.4,16,5,21,10,6,7,4,0,16.2,10.7,4.4,15.1,40,65,184,0.56,0.18,0.74,0.35,0.53,0.57,0.16,0.73,0.38,0.53
1300,Jonathan Gradit,FRA,DF,Lens,Ligue 1,31,25,24,2112,23.5,0,0,0,0,0,0,4,0,0.8,0.8,0.7,1.5,18,127,4,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06
1301,Jonathan Ikone,FRA,"FW,MF",Fiorentina,Serie A,26,14,1,334,3.7,0,0,0,0,0,0,0,0,0.8,0.8,0.1,0.9,12,13,39,0.0,0.0,0.0,0.0,0.0,0.21,0.02,0.23,0.21,0.23
1302,Jonathan Ikone,FRA,FW,Como,Serie A,26,13,5,540,6.0,2,0,2,2,0,0,1,0,1.8,1.8,0.2,1.9,23,17,55,0.33,0.0,0.33,0.33,0.33,0.29,0.03,0.32,0.29,0.32
1303,Jonathan Tah,GER,DF,Leverkusen,Bundesliga,28,33,33,2970,33.0,3,0,3,3,0,0,3,0,1.1,1.1,0.4,1.5,15,169,9,0.09,0.0,0.09,0.09,0.09,0.03,0.01,0.05,0.03,0.05
1304,Jonny Evans,NIR,DF,Manchester Utd,Premier League,36,7,3,315,3.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,10,3,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04
1305,Jordan Amavi,FRA,DF,Brest,Ligue 1,30,11,8,790,8.8,0,0,0,0,0,0,2,0,0.3,0.3,0.2,0.4,22,36,21,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05
