,Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,MinutesPer90,Goals,Assists,GoalsAndAssists,NonPenaltyGoals,PenaltiesScored,PenaltiesAttempted,CrdY,CrdR,ExpGoals,NPExpGoals,ExpAssists,NPExpGoalsAndAssists,PrgC,PrgP,PrgR,GoalsPer90,AssistsPer90,GoalsAndAssistsPer90,NPGoalsPer90,NPGoalsAndAssistsPer90,ExpGoalsPer90,ExpAssistsPer90,ExpGoalsAndAssistsPer90,NPExpGoalsPer90,NPExpGoalsAndAssistsPer90
715,Eddie Nketiah,ENG,"FW,MF",Crystal Palace,Premier League,25,29,9,1034,11.5,3,1,4,3,0,0,6,1,5.8,5.8,1.7,7.4,41,19,79,0.26,0.09,0.35,0.26,0.35,0.5,0.15,0.65,0.5,0.65
716,Ederson,BRA,GK,Manchester City,Premier League,30,26,26,2320,25.8,0,4,4,0,0,0,4,0,0.0,0.0,1.5,1.5,0,2,0,0.0,0.16,0.16,0.0,0.16,0.0,0.06,0.06,0.0,0.06
717,Edhy Zuliani,FRA,DF,Toulouse,Ligue 1,19,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
718,Edimilson Fernandes,SUI,"MF,DF",Brest,Ligue 1,28,19,12,1105,12.3,0,1,1,0,0,0,1,0,0.4,0.4,0.6,1.0,7,40,3,0.0,0.08,0.08,0.0,0.08,0.03,0.05,0.08,0.03,0.08
719,Edmond Tapsoba,BFA,DF,Leverkusen,Bundesliga,25,29,29,2507,27.9,0,0,0,0,0,0,4,0,1.1,1.1,0.2,1.3,52,164,17,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05
720,Edmond-Paris Maghoma,ENG,"MF,FW",Brentford,Premier League,23,8,0,119,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,13,4,0.0,0.0,0.0,0.0,0.0,0.09,0.08,0.17,0.09,0.17
721,Edoardo Bove,ITA,"MF,FW",Fiorentina,Serie A,22,11,10,836,9.3,1,2,3,1,0,0,3,0,0.6,0.6,1.5,2.1,12,37,24,0.11,0.22,0.32,0.11,0.32,0.06,0.16,0.22,0.06,0.22
722,Edoardo Goldaniga,ITA,DF,Como,Serie A,30,32,28,2532,28.1,1,0,1,1,0,0,12,1,2.5,2.5,0.3,2.8,20,81,8,0.04,0.0,0.04,0.04,0.04,0.09,0.01,0.1,0.09,0.1
723,Edon Zhegrova,KVX,"FW,MF",Lille,Ligue 1,25,12,12,978,10.9,4,1,5,4,0,0,1,0,2.3,2.3,2.2,4.5,37,54,81,0.37,0.09,0.46,0.37,0.46,0.21,0.21,0.41,0.21,0.41
724,Edson Álvarez,MEX,MF,West Ham,Premier League,26,28,20,1772,19.7,0,1,1,0,0,0,9,1,0.4,0.4,0.8,1.2,24,85,18,0.0,0.05,0.05,0.0,0.05,0.02,0.04,0.06,0.02,0.06
725,Edu Expósito,ESP,MF,Espanyol,La Liga,27,19,12,1045,11.6,0,2,2,0,0,0,3,0,1.0,1.0,3.2,4.2,23,64,41,0.0,0.17,0.17,0.0,0.17,0.09,0.27,0.36,0.09,0.36
726,Eduard Sobol,UKR,DF,Strasbourg,Ligue 1,29,10,0,95,1.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
727,Eduardo Camavinga,FRA,"MF,DF",Real Madrid,La Liga,21,19,11,1102,12.2,1,2,3,1,0,0,2,0,0.4,0.4,0.8,1.2,26,61,31,0.08,0.16,0.25,0.08,0.25,0.04,0.06,0.1,0.04,0.1
728,Eiran Cashin,IRL,DF,Brighton,Premier League,22,2,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
729,El Bilal Touré,MLI,"FW,MF",Stuttgart,Bundesliga,22,12,3,356,4.0,2,1,3,2,0,0,0,0,1.6,1.6,1.1,2.8,6,7,25,0.51,0.25,0.76,0.51,0.76,0.41,0.29,0.7,0.41,0.7
730,El Chadaille Bitshiabu,FRA,DF,RB Leipzig,Bundesliga,19,21,13,1130,12.6,0,0,0,0,0,0,2,1,0.3,0.3,0.4,0.7,4,69,2,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05
731,Eldor Shomurodov,UZB,"FW,MF",Roma,Serie A,29,27,11,1097,12.2,4,4,8,4,0,0,1,0,4.7,4.7,1.3,6.1,19,21,62,0.33,0.33,0.66,0.33,0.66,0.39,0.11,0.5,0.39,0.5
732,Elia Caprile,ITA,GK,Cagliari,Serie A,22,18,18,1620,18.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
733,Elia Caprile,ITA,GK,Napoli,Serie A,22,4,3,325,3.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
734,Elias Saad,TUN,"FW,MF",St. Pauli,Bundesliga,24,18,10,900,10.0,3,2,5,3,0,0,1,0,2.8,2.8,0.8,3.6,29,27,76,0.3,0.2,0.5,0.3,0.5,0.28,0.08,0.36,0.28,0.36
735,Eliesse Ben Seghir,MAR,"MF,FW",Monaco,Ligue 1,19,33,19,1750,19.4,6,3,9,4,2,2,0,0,5.5,4.1,5.2,9.3,85,122,170,0.31,0.15,0.46,0.21,0.36,0.29,0.27,0.55,0.21,0.48
736,Elif Elmas,MKD,MF,RB Leipzig,Bundesliga,24,2,0,44,0.5,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,0,2,2,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.7,0.7,0.7
737,Elif Elmas,MKD,"FW,MF",Torino,Serie A,24,13,12,1021,11.3,4,0,4,4,0,0,0,0,1.4,1.4,0.4,1.8,42,34,58,0.35,0.0,0.35,0.35,0.35,0.12,0.04,0.16,0.12,0.16
738,Eliot Matazo,BEL,MF,Monaco,Ligue 1,22,3,1,68,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.08
739,Elisha Owusu,GHA,MF,Auxerre,Ligue 1,26,28,28,2344,26.0,1,3,4,1,0,0,7,0,0.4,0.4,1.0,1.4,8,78,33,0.04,0.12,0.15,0.04,0.15,0.01,0.04,0.05,0.01,0.05
740,Elliot Anderson,ENG,MF,Nott'ham Forest,Premier League,21,37,33,2728,30.3,2,6,8,2,0,0,10,0,2.1,2.1,3.3,5.4,52,143,94,0.07,0.2,0.26,0.07,0.26,0.07,0.11,0.18,0.07,0.18
741,Ellyes Skhiri,TUN,MF,Eint Frankfurt,Bundesliga,29,30,26,2231,24.8,1,2,3,1,0,0,6,0,1.4,1.4,1.4,2.8,17,105,27,0.04,0.08,0.12,0.04,0.12,0.06,0.06,0.11,0.06,0.11
742,Eloge Zabi,CIV,"DF,MF",Reims,Ligue 1,17,2,0,18,0.2,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
743,Elseid Hysaj,ALB,DF,Lazio,Serie A,30,11,4,424,4.7,0,3,3,0,0,0,2,1,0.2,0.2,1.6,1.8,4,14,18,0.0,0.64,0.64,0.0,0.64,0.04,0.35,0.38,0.04,0.38
744,Elvis Rexhbeçaj,KVX,MF,Augsburg,Bundesliga,26,27,22,1785,19.8,1,1,2,1,0,0,8,0,1.4,1.4,1.1,2.5,31,94,82,0.05,0.05,0.1,0.05,0.1,0.07,0.05,0.13,0.07,0.13
745,Elye Wahi,FRA,FW,Marseille,Ligue 1,21,13,7,574,6.4,3,1,4,2,1,1,1,0,6.0,5.2,0.4,5.6,7,7,41,0.47,0.16,0.63,0.31,0.47,0.94,0.07,1.0,0.81,0.88
746,Elye Wahi,FRA,"FW,MF",Eint Frankfurt,Bundesliga,21,8,1,196,2.2,0,0,0,0,0,0,1,0,1.3,1.3,0.1,1.4,6,5,19,0.0,0.0,0.0,0.0,0.0,0.58,0.04,0.62,0.58,0.62
747,Elysée Logbo,FRA,FW,Le Havre,Ligue 1,20,1,0,27,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,0,2,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.61,0.61,0.61
748,Emanuel Emegha,NED,FW,Strasbourg,Ligue 1,21,27,27,2293,25.5,14,3,17,14,0,0,5,0,17.0,17.0,2.4,19.4,37,14,104,0.55,0.12,0.67,0.55,0.67,0.67,0.1,0.76,0.67,0.76
749,Emanuele Valeri,ITA,DF,Parma,Serie A,25,35,34,2873,31.9,2,6,8,1,1,1,1,0,1.8,1.0,4.7,5.8,79,93,109,0.06,0.19,0.25,0.03,0.22,0.06,0.15,0.21,0.03,0.18
750,Emerson,BRA,DF,Milan,Serie A,25,17,16,1377,15.3,0,0,0,0,0,0,5,0,0.4,0.4,0.7,1.1,23,68,71,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.07,0.03,0.07
751,Emerson Palmieri,ITA,DF,West Ham,Premier League,29,31,26,2113,23.5,2,1,3,2,0,0,5,0,2.0,2.0,1.5,3.4,47,66,83,0.09,0.04,0.13,0.09,0.13,0.08,0.06,0.15,0.08,0.15
752,Emi Buendía,ARG,MF,Leverkusen,Bundesliga,27,11,3,257,2.9,2,0,2,2,0,0,0,0,0.9,0.9,0.9,1.8,2,14,24,0.7,0.0,0.7,0.7,0.7,0.31,0.3,0.61,0.31,0.61
753,Emi Buendía,ARG,"MF,FW",Aston Villa,Premier League,27,12,0,98,1.1,0,0,0,0,0,0,1,0,0.7,0.7,0.0,0.7,3,7,6,0.0,0.0,0.0,0.0,0.0,0.6,0.02,0.62,0.6,0.62
754,Emil Audero,IDN,GK,Como,Serie A,27,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
755,Emil Bohinen,NOR,MF,Genoa,Serie A,25,3,1,166,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,6,5,2,0.0,0.0,0.0,0.0,0.0,0.06,0.04,0.09,0.06,0.09
756,Emil Holm,SWE,DF,Bologna,Serie A,24,21,12,1137,12.6,1,1,2,1,0,0,3,0,0.6,0.6,0.7,1.3,29,49,43,0.08,0.08,0.16,0.08,0.16,0.05,0.06,0.1,0.05,0.1
757,Emil Krafth,SWE,DF,Newcastle Utd,Premier League,29,12,2,342,3.8,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,5,8,3,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03
758,Emile Smith Rowe,ENG,MF,Fulham,Premier League,24,34,25,2043,22.7,6,3,9,6,0,0,3,0,4.5,4.5,1.4,6.0,53,126,127,0.26,0.13,0.4,0.26,0.4,0.2,0.06,0.26,0.2,0.26
759,Emiliano Martínez,ARG,GK,Aston Villa,Premier League,31,37,37,3194,35.5,0,0,0,0,0,0,5,1,0.0,0.0,0.5,0.5,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
